cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
silicone oil interface,formulation,particle formation in protein formulations when agitated with an air bubble,quality_outcome,promotes,2,1,high,most particles formed in syringes lubricated with liquid silicone oil (protein formulations agitated in the presence of 
fcrn binding,structure,conformational stability,structure,stabilizes,2,1,high,Several regions in the antibody Fc region and the FcRn were protected from exchange upon complex formation.
surfactant,formulation,protein particle formation,quality_outcome,inhibits,2,2,high,protected against ... protein particle formation
binding affinity,structure,duration of LDL-cholesterol lowering by the mAb,quality_outcome,decreases,2,1,high,Results revealed an inverse correlation between affinity and both mAb exposure and duration of LDL-C lowering.
increased viscosity,stability,formulation,formulation,promotes,2,2,high,viscosity measurements at high antibody concentrations allows screening ... candidates with potential issues in pre-form
glycosylation pattern,sequence,safety,quality_outcome,increases,2,2,medium,The risk of oligosaccharide variation ... be evaluated based on its impact on antibody ... efficacy and safety
particle size,quality_outcome,microparticle concentrations (>1000 nm) during freeze-thawing or agitation,quality_outcome,increases,2,1,high,increases in microparticle concentrations ... depended directly on the levels of pre-existing nano- and submicron partic
polyester-based nanoparticles,formulation,stability,stability,stabilizes,2,1,high,provide...increased antibody stability and protection
radioresistant cells,structure,clearance,quality_outcome,promotes,2,1,high,after IV administration hematopoietic and radioresistent cells contribute about equally to clearance of the mAb.
accelerated stability,formulation,biological activity,quality_outcome,modifies,2,1,high,"investigated the effect of formulation variables (pH, buffer composition, glycine and NaCl concentration, time and tempe"
second virial coefficient,structure,aggregation,stability,correlates,2,1,high,"DLS and SEC gave consistent data on aggregation behavior, which correlated well with experimental B trends"
internalization,structure,degradation,stability,promotes,2,2,high,all mAb were progressively internalized and degraded
forced degradation,stress,higher-order structure,stability,degrades,2,2,medium,benefits ... are demonstrated for higher order structure characterization of mAb forced degraded samples.
binding activity,sequence,oligomerization,stability,aggregates,2,2,high,complexes formed between TS1 and alphaTS1 are mainly ring-shaped (66.6-73.4%)
colloidal stability,structure,viscosity,stability,increases,2,2,high,can lead to a variety of problems ranging from ... high viscosity
ionic strength,formulation,thermal stability,stability,stabilizes,2,2,high,greater stability of our immunoglobulin at ... moderate ionic strength
thermal stability,stability,aggregation propensity,stability,inhibits,2,2,medium,Heat resistance is a proxy for long-term aggregation propensity
fragmentation,stress,fc region,structure,destabilizes,2,2,high,A single peptide bond cleavage in the IgG1 hinge impairs cancer cell killing due to structural derangement of the Fc reg
steric hindrance,structure,aggregation,stability,inhibits,2,2,medium,"protect Fab' against thermal and mechanical stress-induced aggregation, likely due to a steric hindrance mechanism"
isomerization,sequence,binding affinity,quality_outcome,binds,2,1,high,binding affinities of [Asp99]-bGH(96-112) ... are 54- ... fold lower than the isoaspartyl peptide
buffers,formulation,aggregation,stability,inhibits,2,2,high,flow-induced aggregation of each mAb is ameliorated by different buffers
environmental perturbations,stress,protein unfolding,stability,unfolds,2,1,high,"mAbs ... are, however, susceptible to unfolding, mis-folding, and aggregation by environmental perturbations."
hydrolysis,stability,fragmentation,structure,degrades,2,2,high,hydrolysis of the terminal amide portion of the linker-payload
fc region,structure,developability,quality_outcome,induces,2,2,high,which leads to undesired outcomes for further development of Fc-based therapeutics
n-glycosylation,sequence,protein folding,structure,stabilizes,2,2,high,"N-glycosylation plays important roles in modulating the biological functions of glycoproteins, such as protein folding, "
n-glycosylation,sequence,protein stability,stability,stabilizes,2,2,high,"N-glycosylation plays important roles in modulating the biological functions of glycoproteins, such as ... stability."
manufacturing,stress,aggregation,stability,promotes,2,2,high,"stability issues during manufacturing, transport and storage that can lead to aggregation and protein denaturation"
low temperature (5 °c),stress,binding activity,quality_outcome,stabilizes,2,2,high,recognising C hordein and a peptide ... at 5 degrees C but not at 37 degrees C
denaturation,stress,conformational change,structure,induces,2,2,high,accumulation of two intermediate states during acid unfolding
ph,formulation,aggregate removal,stability,correlates,2,2,medium,Aggregate removal was less affected by pH and was effectively reduced ... for each condition
methionine oxidation,sequence,pharmacokinetics,quality_outcome,correlates,2,2,high,A single Met252 oxidation per antibody had no significant effect on pharmacokinetics (PK)
methionine oxidation,sequence,half-life,quality_outcome,decreases,2,2,high,Corresponding to the increase in oxMet252 content ... shorter terminal half-life in huFcRn-transgenic mice were observed
mab j-90 (anti-lfa-1),sequence,biological activity,structure,inhibits,2,1,high,The lysis was inhibited by a monoclonal antibody (mAb J-90) directed against LFA-1
osmolyte,formulation,oxidation,stability,binds,2,2,medium,"latter was inhibited by amino acids (taurine, methionine), consistent with involvement of HOCl"
colloidal stability,stability,developability,stability,correlates,2,2,medium,Critical parameters such as ... colloidal stability ... are measured during the early phase ... and guide the selection 
conformational stability,stability,developability,stability,correlates,2,2,medium,Critical parameters such as ... conformational stability ... are measured during the early phase ... and guide the selec
freeze-thaw cycles,stress,aggregation propensity,stability,stabilizes,2,2,high,"BVZ, RTX and TTZ proved to be the most stable ... in freeze/thaw cycles with no tendency to form aggregates"
mea (mercaptoethylamine),formulation,fab fragments,stability,fragments,2,1,high,DTBA to be ~213 times faster than DTT and ~71 times faster than MEA in the formation of Fab antibody fragments from poly
dtt (dithiothreitol),formulation,fab fragments,stability,fragments,2,1,high,DTBA to be ~213 times faster than DTT ... in the formation of Fab antibody fragments from polyclonal rabbit antibodies.
dtba (dithiobutylamine),formulation,fab fragments,stability,fragments,2,1,high,DTBA to be ~213 times faster than DTT and ~71 times faster than MEA in the formation of Fab antibody fragments from poly
thermal stability,stability,higher-order structure,structure,correlates,2,2,high,"The high and similar melting temperatures (Tm1,72.0 degrees C and Tm2, 84.8 degrees C) of MBS301... revealed its structu"
expression in escherichia coli,stress,aggregation,stability,promotes,2,2,medium,The inclusion body of scFv was isolated from E. coli lysate.
edta,formulation,stability,stability,stabilizes,2,2,high,(99m)Tc-labeled HAb18 F(ab') (2) in EDTA is more stable than in L-cys.
glycation,sequence,heterogeneity,quality_outcome,increases,2,2,high,it not only increases the heterogeneity of antibodies
high concentration,formulation,gelation,stability,promotes,2,2,high,"forming a firm, opaque white gel when it was formulated at concentrations >30 mg/mL and the temperature was <6 degrees C"
charge distribution,structure,reversible self-association,stability,inhibits,2,2,high,reversible dimer configurations with favorable free energy are found to be unlikely [for mAb2].
